Team,Id,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
ARS,1,80,81.6,45,39.6,52.8,51,41,44.4,50,52.8,73,40,52.8,70,84,34,46.8,50,48,87.6,37,54,68,33,96,40.8,39,44,84,70,48,44,61.2,49.2,44,60,40,60
BOU,2,33,54,51,81.6,50,60,44,49.2,39,44.4,70,52.8,63,96,34,73,48,40,84,84,41,61.2,45,68,39.6,87.6,40,75.6,80,40.8,44,60,50,48,37,46.8,70,52.8
BHA,3,49.2,70,87.6,37,46.8,70,96,45,52.8,40,61.2,39.6,50,40.8,44,60,68,52.8,63,51,54,73,84,44.4,41,50,81.6,60,34,52.8,33,39,84,44,48,44,75.6,80
BUR,4,46.8,41,44.4,70,48,44,39.6,34,96,68,54,60,44,52.8,73,40,84,75.6,51,45,40.8,37,49.2,84,39,48,70,52.8,44,87.6,50,40,52.8,33,81.6,80,61.2,63
CAR,5,52.8,44,40.8,63,81.6,80,50,84,37,87.6,50,40,61.2,40,54,39,49.2,70,52.8,60,70,34,52.8,75.6,44,46.8,41,51,48,45,48,68,96,60,73,44.4,44,84
CHE,6,40.8,63,52.8,44,33,54,73,46.8,70,60,44,51,84,37,48,80,48,50,49.2,52.8,39,44,75.6,52.8,34,96,40,70,44.4,40,61.2,39.6,45,87.6,50,84,41,60
CRY,7,44.4,73,49.2,39,40.8,44,52.8,40,61.2,63,81.6,70,84,50,48,54,50,96,33,68,48,41,87.6,46.8,37,45,60,70,60,40,84,34,52.8,80,75.6,51,39.6,44
EVE,8,48,39,52.8,34,45,75.6,37,60,44,84,40,81.6,33,87.6,44,41,96,70,60,48,50,44,46.8,40.8,40,49.2,80,39.6,73,52.8,68,54,63,44.4,70,52.8,50,84
FUL,9,44,84,50,48,96,41,61.2,63,39.6,44,40.8,87.6,39,81.6,50,84,45,52.8,40,34,75.6,60,70,40,52.8,70,54,46.8,68,60,73,80,49.2,51,52.8,33,48,44
HUD,10,68,96,33,61.2,44,60,70,60,73,49.2,37,45,48,40,52.8,75.6,44,39,84,44.4,50,39.6,80,51,81.6,63,52.8,40,48,44,54,52.8,50,84,41,87.6,70,46.8
LEI,11,84,40,46.8,73,52.8,34,52.8,51,75.6,45,39.6,50,48,41,44.4,70,52.8,81.6,80,33,61.2,39,48,87.6,70,84,44,40,49.2,37,60,44,40.8,44,54,63,96,68
LIV,12,45,52.8,40,60,84,39,81.6,80,40.8,33,75.6,37,49.2,51,60,52.8,70,48,44,63,96,48,44,50,54,44,84,41,61.2,50,44.4,70,46.8,68,39.6,34,52.8,40
MCI,13,75.6,34,48,44,37,39.6,40,87.6,50,84,39,70,54,44,49.2,81.6,51,44,60,46.8,73,40,40.8,52.8,63,68,61.2,45,52.8,41,84,44.4,33,52.8,70,60,50,48
MUN,14,50,48,70,60,49.2,40,54,44,81.6,51,52.8,96,44,46.8,63,37,87.6,39.6,34,44,52.8,84,40,50,60,44.4,73,52.8,39,75.6,80,41,48,45,61.2,68,40.8,33
NEW,15,70,39.6,68,96,63,52.8,50,84,40,46.8,41,44,60,45,40,61.2,40.8,37,87.6,49.2,70,81.6,33,80,84,48,34,50,54,51,52.8,75.6,44,60,39,48,73,44.4
SOU,16,50,61.2,50,52.8,40,87.6,48,68,52.8,44,96,41,44.4,70,84,39.6,63,40.8,45,80,81.6,60,51,44,60,33,75.6,37,84,70,49.2,48,73,40,52.8,44,54,34
TOT,17,52.8,37,84,49.2,73,48,40.8,33,54,80,48,52.8,68,75.6,39,60,50,61.2,44,40,39.6,70,44.4,41,44,50,60,81.6,63,46.8,44,87.6,40,34,96,45,52.8,51
WAT,18,40,60,44,70,70,44.4,75.6,44,48,34,52.8,46.8,73,60,80,61.2,33,54,68,44,52.8,52.8,50,84,48,51,39.6,87.6,50,96,39,84,37,63,40.8,40,81.6,45
WHU,19,87.6,44,75.6,40,61.2,68,70,48,70,60,50,40.8,80,52.8,33,44,44.4,41,46.8,60,40,63,52.8,48,73,52.8,37,96,44,39.6,34,51,81.6,84,50,84,39,49.2
WOL,20,51,60,80,54,50,84,39,52.8,41,48,70,75.6,34,39.6,68,52.8,44,73,44.4,84,44,96,50,45,61.2,44,52.8,40.8,33,81.6,63,60,70,46.8,40,49.2,37,87.6
