Team,Id,OldId,Rating,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
ARS,1,1,8,13,5,10,17,18,2,12,3,15,7,20,9,16,14,4,19,11,8,3,6,12,7,15,6,5,13,8,11,19,4,16,14,20,9,17,10,2,18
AVL,2,16,3,17,3,8,7,19,1,5,14,4,11,10,20,13,12,6,9,15,16,14,18,5,11,4,18,3,17,16,15,9,6,13,20,10,12,7,8,1,19
BOU,3,2,5,15,2,11,9,8,16,19,1,14,18,12,13,20,17,7,10,6,5,1,4,19,18,14,4,2,15,5,6,10,7,20,13,12,17,9,11,16,8
BHA,4,3,3,18,19,16,11,5,13,6,17,2,8,14,12,9,10,1,20,7,15,17,3,6,8,2,3,19,18,15,7,20,1,9,12,14,10,11,16,13,5
BUR,5,4,5,16,1,20,10,4,14,2,8,9,6,15,19,18,7,11,17,13,3,8,12,2,6,9,12,1,16,3,13,17,11,18,7,15,19,10,20,14,4
CHE,6,6,8,12,9,14,15,20,10,4,16,13,5,18,7,11,19,2,8,3,17,16,1,4,5,13,1,9,12,17,3,8,2,11,19,18,7,15,14,10,20
CRY,7,7,5,8,15,12,2,17,20,14,19,11,1,9,6,10,5,3,18,4,13,19,16,14,1,11,16,15,8,13,4,18,3,10,5,9,6,2,12,20,17
EVE,8,8,7,7,18,2,20,3,15,11,5,19,4,17,16,14,9,10,6,12,1,5,13,11,4,19,13,18,7,1,12,6,10,14,9,17,16,20,2,15,3
LEI,9,11,6,20,6,15,3,12,17,13,10,5,16,7,1,4,8,18,2,14,11,10,19,13,16,5,19,6,20,11,14,2,18,4,8,7,1,3,15,17,12
LIV,10,12,10,14,16,1,5,13,6,15,9,12,17,2,11,7,4,8,3,18,19,9,20,15,17,12,20,16,14,19,18,3,8,7,11,2,4,5,1,6,13
MCI,11,13,10,19,17,3,4,14,18,8,20,7,2,16,10,6,13,5,12,1,9,20,15,8,2,7,15,17,19,9,1,12,5,6,10,16,13,4,3,18,14
MUN,12,14,7,6,20,7,16,9,19,1,13,10,14,3,4,15,2,17,11,8,18,13,5,1,14,10,5,20,6,18,8,11,17,15,4,3,2,16,7,19,9
NEW,13,15,4,1,14,17,18,10,4,9,12,6,20,19,3,2,11,15,16,5,7,12,8,9,20,6,8,14,1,7,5,16,15,2,3,19,11,18,17,4,10
NOR,14,4,3,10,13,6,19,11,5,7,2,3,12,4,18,8,1,16,15,9,20,2,17,7,12,3,17,13,10,20,9,15,16,8,1,4,18,19,6,5,11
SHU,15,5,3,3,7,9,6,16,8,10,18,1,19,5,17,12,20,13,14,2,4,18,11,10,19,1,11,7,3,4,2,14,13,12,17,5,20,6,9,8,16
SOU,16,16,4,5,10,4,12,15,3,17,6,20,9,11,8,1,18,14,13,19,2,6,7,17,9,20,7,10,5,2,19,13,14,1,18,11,8,12,4,3,15
TOT,17,17,9,2,11,13,1,7,9,16,4,18,10,8,15,19,3,12,5,20,6,4,14,16,10,18,14,11,2,6,20,5,12,19,15,8,3,1,13,9,7
WAT,18,18,6,4,8,19,13,1,11,20,15,17,3,6,14,5,16,9,7,10,12,15,2,20,3,17,2,8,4,12,10,7,9,5,16,6,14,13,19,11,1
WHU,19,19,6,11,4,18,14,2,12,3,7,8,15,13,5,17,6,20,1,16,10,7,9,3,15,8,9,4,11,10,16,1,20,17,6,13,5,14,18,12,2
WOL,20,20,7,9,12,5,8,6,7,18,11,16,13,1,2,3,15,19,4,17,14,11,10,18,13,16,10,12,9,14,17,4,19,3,2,1,15,8,5,7,6
